"text","sentiment","topic"
"Несмотря на отдельные сложности, обучение дало мне полезный опыт и новые знакомства.","POSITIVE","OTHER"
"Серьёзных проблем с преподавателями не было, но и особого вовлечения со стороны всех преподавателей я не заметил.","NEUTRAL","TEACHERS"
"Информация от администрации бывает неполной, поэтому студентам приходится уточнять детали в чатах.","NEUTRAL","ADMINISTRATION"
"Учебный процесс нельзя назвать плохим, но многое зависит от личной самостоятельности студента.","NEUTRAL","EDUCATION"
"Я ожидал больше общения и возможностей, но на практике всё свелось к парам и дедлайнам.","NEGATIVE","STUDENT_LIFE"
"Условия проживания меня устраивают: есть всё необходимое для учёбы и нормального быта.","POSITIVE","DORMITORY"
"На отдельных предметах оценки выставляются непрозрачно, поэтому непонятно, за что именно снижают баллы.","NEGATIVE","TEACHERS"
"Студенческая жизнь есть, но участие в ней зависит от желания и свободного времени самого студента.","NEUTRAL","STUDENT_LIFE"
"На моём направлении программа выстроена логично, без резких скачков от простого к сложному.","POSITIVE","EDUCATION"
"Практических навыков дают недостаточно, поэтому диплом не гарантирует готовность к работе.","NEGATIVE","EDUCATION"
"Из-за шума и бытовых проблем сложно восстановиться после учебного дня.","NEGATIVE","DORMITORY"
"Для иногородних студентов общежитие становится отдельным источником стресса.","NEGATIVE","DORMITORY"
"Образовательный процесс организован стандартно: лекции, практики, зачёты и сессии без особых отличий.","NEUTRAL","EDUCATION"
"Отношение преподавателей в целом доброжелательное, конфликты решаются спокойно и без давления.","POSITIVE","TEACHERS"
"Внеучебная жизнь больше выглядит как реклама университета, чем реальная поддержка студентов.","NEGATIVE","STUDENT_LIFE"
"Университет предлагает возможности, но не всегда хорошо рассказывает о них студентам.","NEUTRAL","STUDENT_LIFE"
"Критерии оценивания обычно понятны, а требования объясняются заранее.","POSITIVE","TEACHERS"
"Я не жалею о поступлении, потому что смог развиться и найти своё направление.","POSITIVE","OTHER"
"Этот опыт оказался тяжёлым и скорее отбил желание продолжать обучение именно здесь.","NEGATIVE","OTHER"
"На практике кампус оказался менее удобным, чем кажется на рекламных фотографиях.","NEGATIVE","INFRASTRUCTURE"
"Помимо занятий, есть много мероприятий, которые помогают почувствовать себя частью студенческого сообщества.","POSITIVE","STUDENT_LIFE"
"Кампус выглядит ухоженно, и это делает повседневную учёбу комфортнее.","POSITIVE","INFRASTRUCTURE"
"Для экономии времени и денег общежитие подходит, но уровень комфорта средний.","NEUTRAL","DORMITORY"
"Обучение идёт в обычном режиме: лекции, практики, самостоятельная работа и сессии.","NEUTRAL","EDUCATION"
"В аудиториях бывает холодно, душно или тесно, что мешает нормально заниматься.","NEGATIVE","INFRASTRUCTURE"
"Мне нравится, что программа включает современные дисциплины и даёт возможность выбрать интересную траекторию обучения.","POSITIVE","EDUCATION"
"В большинстве аудиторий есть проекторы, доски и другое нужное оборудование.","POSITIVE","INFRASTRUCTURE"
"Оценивание в целом понятное, но по отдельным дисциплинам критерии бывают размытыми.","NEUTRAL","TEACHERS"
"Студенческая жизнь разочаровала: мероприятий много на бумаге, но пользы от них мало.","NEGATIVE","STUDENT_LIFE"
"Качество проживания зависит от корпуса, соседей и того, насколько жильцы поддерживают порядок.","NEUTRAL","DORMITORY"
"Активности и мероприятия помогают отвлечься от учёбы и почувствовать, что университет — это не только лекции.","POSITIVE","STUDENT_LIFE"
"Требования часто меняются по ходу семестра, и студентам приходится подстраиваться в последний момент.","NEGATIVE","TEACHERS"
"Студенческая жизнь неплохая, но и не стала главным впечатлением от вуза.","NEUTRAL","STUDENT_LIFE"
"Условия проживания средние, есть плюсы в расположении, но бытовые проблемы тоже встречаются.","NEUTRAL","DORMITORY"
"Администрация моего направления старается поддерживать студентов и вовремя сообщать важные новости.","POSITIVE","ADMINISTRATION"
"Коммуникация со стороны университета стала приятным плюсом.","POSITIVE","ADMINISTRATION"
"Материальная база есть, но её качество неодинаково на разных направлениях.","NEUTRAL","INFRASTRUCTURE"
"Я не жалею о выборе вуза, потому что смог развиться и найти своё направление.","POSITIVE","OTHER"
"Учебная программа перегружена лишними предметами, а действительно важных практических занятий слишком мало.","NEGATIVE","EDUCATION"
"В некоторых дисциплинах требования высокие, но объяснений и поддержки почти нет.","NEGATIVE","EDUCATION"
"Университет не идеальный, но при активной позиции здесь можно найти возможности для развития.","POSITIVE","OTHER"
"Учёба требует усилий, зато после каждого семестра чувствуется, что знания становятся глубже.","POSITIVE","EDUCATION"
"В университете есть понятные каналы связи, через которые можно уточнить расписание, документы и учебные вопросы.","POSITIVE","ADMINISTRATION"
"Образовательная программа даёт хорошую базу и помогает понять, в какой области хочется развиваться дальше.","POSITIVE","EDUCATION"
"Обучение разочаровало: много отчётов и формальностей, но мало реального понимания профессии.","NEGATIVE","EDUCATION"
"В университете есть отдельные плюсы, но для меня они не перекрыли общий негативный опыт.","NEGATIVE","OTHER"
"Мне понравилось, что преподавательский состав связывают теорию с реальными задачами, поэтому материал легче запоминается.","POSITIVE","EDUCATION"
"Я бы рекомендовал этот университет тем, кто понимает его особенности и готов активно учиться.","POSITIVE","OTHER"
"В комнате достаточно места для учёбы и отдыха, если поддерживать порядок.","POSITIVE","DORMITORY"
"Общежитие стало одним из главных разочарований: грязь, шум и постоянные бытовые проблемы.","NEGATIVE","DORMITORY"
"Организация учебного процесса средняя: что-то работает хорошо, что-то требует доработки.","NEUTRAL","ADMINISTRATION"
"Из-за постоянного стресса, дедлайнов и организационных проблем сложно получать удовольствие от студенческой жизни.","NEGATIVE","STUDENT_LIFE"
"Некоторые помещения плохо оборудованы, из-за чего практические занятия проходят неэффективно.","NEGATIVE","INFRASTRUCTURE"
"Сотрудники помогают, если обращаться спокойно и заранее.","NEUTRAL","ADMINISTRATION"
"Свободного времени почти нет, поэтому внеучебные возможности остаются только в рекламных буклетах.","NEGATIVE","STUDENT_LIFE"
"Некоторые корпуса удобные, а некоторые требуют обновления или лучшей навигации.","NEUTRAL","INFRASTRUCTURE"
"Моё общее впечатление скорее положительное: многое зависит от направления, преподавателей и самого студента.","POSITIVE","OTHER"
"В целом я доволен выбором вуза, потому что получил полезный опыт и новые возможности.","POSITIVE","OTHER"
"Атмосфера среди обучающихся разная: в одной группе может быть дружно, в другой каждый сам по себе.","NEUTRAL","STUDENT_LIFE"
"Учебный процесс организован хаотично, из-за чего сложно планировать время и нормально готовиться.","NEGATIVE","EDUCATION"
"В общежитии поддерживается порядок, а возникающие бытовые проблемы обычно решаются быстро.","POSITIVE","DORMITORY"
"Студентам приходится самим искать информацию, потому что официальные каналы работают плохо.","NEGATIVE","ADMINISTRATION"
"Здесь можно развиваться не только как специалист, но и как личность.","POSITIVE","STUDENT_LIFE"
"Мне нравится, что рядом с корпусами есть столовые, зоны ожидания и пространства для учёбы.","POSITIVE","INFRASTRUCTURE"
"Преподаватели разные: одни объясняют отлично, другие читают материал формально и почти не взаимодействуют со студентами.","NEUTRAL","TEACHERS"
"Администрация быстро помогла оформить документы и спокойно объяснила порядок дальнейших действий.","POSITIVE","ADMINISTRATION"
"В целом я доволен выбором университета, потому что получил полезный опыт и новые возможности.","POSITIVE","OTHER"
"В вузе есть отдельные плюсы, но для меня они не перекрыли общий негативный опыт.","NEGATIVE","OTHER"
"Атмосфера в группе оказалась напряжённой, поэтому учёба не дала ощущения нормальной студенческой среды.","NEGATIVE","STUDENT_LIFE"
"Большие расстояния между корпусами и проблемы с транспортом сильно усложняют учебный день.","NEGATIVE","INFRASTRUCTURE"
"Учебные корпуса хорошо оборудованы, а аудитории подходят для лекций и практических занятий.","POSITIVE","INFRASTRUCTURE"
"В общежитии есть необходимый минимум, однако комфорт сильно зависит от конкретного корпуса.","NEUTRAL","DORMITORY"
"Администрация работает хаотично: документы теряются, сроки меняются, а студентам приходится постоянно всё уточнять.","NEGATIVE","ADMINISTRATION"
"Не хватает продуманной навигации, особенно для первокурсников и гостей.","NEGATIVE","INFRASTRUCTURE"
"Не все преподавательский состав уважительно общаются со студентами, особенно когда возникают вопросы.","NEGATIVE","TEACHERS"
"Внеучебная жизнь присутствует, но для меня она не стала главным преимуществом вуза.","NEUTRAL","STUDENT_LIFE"
"Я не могу однозначно рекомендовать или не рекомендовать вуз, потому что опыт зависит от направления.","NEUTRAL","OTHER"
"Студенческая жизнь разочаровала, потому что времени и энергии на неё почти не остаётся.","NEGATIVE","STUDENT_LIFE"
"Административный бардак сильно портит впечатление от университета.","NEGATIVE","ADMINISTRATION"
"Учиться можно, но для хорошего результата приходится много заниматься самостоятельно.","NEUTRAL","EDUCATION"
"На сложных дисциплинах преподаватели помогают разобраться, если студент проявляет инициативу.","POSITIVE","TEACHERS"
"Многие активности проводятся формально и не решают настоящих проблем студентов.","NEGATIVE","STUDENT_LIFE"
"Мне нравится, что в университете есть места для самостоятельной работы и командных проектов.","POSITIVE","INFRASTRUCTURE"
"Оформление справок и заявлений проходит достаточно быстро, если заранее подготовить документы.","POSITIVE","ADMINISTRATION"
"Понравилось, что преподаватели открыты к диалогу и заранее объясняют критерии оценивания.","POSITIVE","TEACHERS"
"Коммуникация со стороны университета плохо организована, важные объявления появляются в последний момент.","NEGATIVE","ADMINISTRATION"
"Проблемы с тараканами, грязью и шумом делают проживание крайне неприятным.","NEGATIVE","DORMITORY"
"На нашем направлении много проектной работы, поэтому теория быстро превращается в реальный навык.","POSITIVE","EDUCATION"
"Мне понравилось, что после базовых курсов сразу дали задачи, похожие на будущую работу.","POSITIVE","EDUCATION"
"Программа не идеальна, но несколько профильных модулей действительно помогли собрать портфолио.","POSITIVE","EDUCATION"
"Часть дисциплин оказалась полезной, а часть выглядела как обязательный фон без явной ценности.","NEUTRAL","EDUCATION"
"По содержанию курсов всё средне: без провалов, но и без ощущения сильной академической школы.","NEUTRAL","EDUCATION"
"Если сравнивать семестры между собой, качество программы заметно плавает от блока к блоку.","NEUTRAL","EDUCATION"
"На бумаге программа звучит современно, а по факту многие темы проходят поверхностно и без практики.","NEGATIVE","EDUCATION"
"Сложно воспринимать учебный план всерьёз, когда половина заданий никак не связана со специальностью.","NEGATIVE","EDUCATION"
"Некоторые ключевые курсы построены так слабо, что базовые вещи приходится добирать на стороне.","NEGATIVE","EDUCATION"
"Есть преподаватели, после чьих пар действительно хочется глубже разбираться в теме.","POSITIVE","TEACHERS"
"Сильнее всего запомнилось, что преподаватели отвечали не формально, а реально пытались помочь.","POSITIVE","TEACHERS"
"Даже на строгих курсах было ощущение, что к студенту относятся как к взрослому человеку.","POSITIVE","TEACHERS"
"Состав преподавателей неоднородный: рядом с отличными парами встречаются вполне проходные занятия.","NEUTRAL","TEACHERS"
"Общаться с преподавателями можно, но качество контакта слишком зависит от конкретного человека.","NEUTRAL","TEACHERS"
"Требования обычно можно понять, если заранее задавать вопросы и не ждать, что всё разжуют.","NEUTRAL","TEACHERS"
"Часть преподавателей будто читает материал для галочки и раздражается на любые уточнения.","NEGATIVE","TEACHERS"
"Больше всего мешало то, что некоторые преподаватели оценивают жёстко, но почти не объясняют логику.","NEGATIVE","TEACHERS"
"Есть пары, после которых остаётся только усталость, потому что преподаватель не умеет удерживать внимание группы.","NEGATIVE","TEACHERS"
"Кампус производит хорошее впечатление: удобно перемещаться, есть где посидеть и спокойно поработать.","POSITIVE","INFRASTRUCTURE"
"Мне зашли библиотеки и тихие зоны, где можно между парами доделать задания без суеты.","POSITIVE","INFRASTRUCTURE"
"Для повседневной учёбы инфраструктура в целом удобная: аудитории, столовые и сервисы расположены логично.","POSITIVE","INFRASTRUCTURE"
"Снаружи всё выглядит современно, но внутри многое зависит от конкретного корпуса и времени суток.","NEUTRAL","INFRASTRUCTURE"
"По инфраструктуре впечатление смешанное: одни пространства сделаны продуманно, другие уже просятся на обновление.","NEUTRAL","INFRASTRUCTURE"
"Пользоваться кампусом можно нормально, хотя иногда расстояния и очереди заметно съедают время.","NEUTRAL","INFRASTRUCTURE"
"Неудобнее всего оказались переходы между корпусами: на расписании это выглядит проще, чем в реальности.","NEGATIVE","INFRASTRUCTURE"
"Когда в аудитории душно, тесно и техника барахлит, сосредоточиться на занятии уже сложно.","NEGATIVE","INFRASTRUCTURE"
"Инфраструктура часто кажется красивой только на фото, а в будни вылезают очереди, нехватка мест и бытовой хаос.","NEGATIVE","INFRASTRUCTURE"
"Для общежития условия оказались вполне достойными: без роскоши, но жить и учиться можно спокойно.","POSITIVE","DORMITORY"
"Порадовало, что рядом всё необходимое и не приходится тратить полдня на дорогу до корпусов.","POSITIVE","DORMITORY"
"После историй знакомых ожидал худшего, а по факту общежитие оказалось удобным и довольно живым местом.","POSITIVE","DORMITORY"
"Жить в общежитии можно, если сразу принять бытовые ограничения и не ждать особого комфорта.","NEUTRAL","DORMITORY"
"По проживанию всё скорее терпимо: бывают неудобства, но ничего совсем критичного не происходило.","NEUTRAL","DORMITORY"
"Опыт с общежитием вышел обычным студенческим: шумно местами, тесно иногда, но в целом предсказуемо.","NEUTRAL","DORMITORY"
"Главная проблема общежития в том, что мелкие бытовые вопросы копятся и никто не решает их нормально.","NEGATIVE","DORMITORY"
"Сложнее всего было привыкнуть к шуму ночью и ощущению, что личного пространства почти нет.","NEGATIVE","DORMITORY"
"Если честно, условия проживания выматывают: ремонт уставший, кухни перегружены, жалобы двигаются медленно.","NEGATIVE","DORMITORY"
"Приятно удивило, что даже сложные справки получилось оформить без бесконечных походов по кабинетам.","POSITIVE","ADMINISTRATION"
"Когда возник спорный вопрос, администрация не отмахнулась, а быстро довела ситуацию до решения.","POSITIVE","ADMINISTRATION"
"По организационной части всё оказалось лучше ожиданий: сотрудники объясняют по делу и не тянут сроки.","POSITIVE","ADMINISTRATION"
"Администрация не всегда работает быстро, но при настойчивом запросе нужный результат обычно получаешь.","NEUTRAL","ADMINISTRATION"
"Система местами громоздкая, однако в стандартных ситуациях она всё-таки работает без серьёзных сбоев.","NEUTRAL","ADMINISTRATION"
"По документам и объявлениям всё не идеально, но общий уровень организации я бы назвал рабочим.","NEUTRAL","ADMINISTRATION"
"Больше всего раздражает, что один и тот же вопрос приходится объяснять разным сотрудникам заново.","NEGATIVE","ADMINISTRATION"
"Административные процессы будто специально устроены так, чтобы студент тратил время на лишние согласования.","NEGATIVE","ADMINISTRATION"
"Когда важная информация приходит с опозданием, любое взаимодействие с администрацией превращается в стресс.","NEGATIVE","ADMINISTRATION"
"Если не замыкаться только в учёбе, здесь реально можно собрать вокруг себя сильное окружение.","POSITIVE","STUDENT_LIFE"
"Мне понравилось, что студенческие инициативы не выглядят мёртвыми: в них правда есть энергия и люди.","POSITIVE","STUDENT_LIFE"
"За пределами пар у вуза есть жизнь, и именно она для меня стала одной из причин не жалеть о поступлении.","POSITIVE","STUDENT_LIFE"
"Возможности для студенческой активности есть, но далеко не всем хватает на них времени и ресурса.","NEUTRAL","STUDENT_LIFE"
"По внеучебной части всё зависит от круга общения: кто-то живёт очень активно, кто-то почти этого не замечает.","NEUTRAL","STUDENT_LIFE"
"Студенческая среда присутствует, просто она не настолько яркая, как это обычно показывают в рекламе.","NEUTRAL","STUDENT_LIFE"
"Мероприятий вроде много, но часто они ощущаются как формальный отчёт, а не как что-то нужное студентам.","NEGATIVE","STUDENT_LIFE"
"Из-за нагрузки и дороги вся студенческая жизнь быстро сжимается до сообщений в чатах и редких встреч.","NEGATIVE","STUDENT_LIFE"
"Снаружи всё выглядит активно, а внутри многие чувствуют усталость и отсутствие нормального сообщества.","NEGATIVE","STUDENT_LIFE"
"В целом мой опыт скорее удачный: минусы были, но ценного я получил заметно больше.","POSITIVE","OTHER"
"Я остался здесь не из-за красивых обещаний, а потому что в итоге нашёл для себя рабочую траекторию.","POSITIVE","OTHER"
"Если смотреть на весь путь целиком, вуз дал мне хорошую точку старта и полезные знакомства.","POSITIVE","OTHER"
"Университет не оказался ни катастрофой, ни мечтой, просто довольно обычным местом со своими перекосами.","NEUTRAL","OTHER"
"Моё отношение к вузу спокойное: без восторга, но и без желания перечеркнуть весь опыт.","NEUTRAL","OTHER"
"Итоговое впечатление смешанное, потому что сильные и слабые стороны здесь довольно равномерно распределены.","NEUTRAL","OTHER"
"Если бы я заранее лучше понимал внутреннюю кухню вуза, ожидания были бы намного ниже и честнее.","NEGATIVE","OTHER"
"Общий опыт получился тяжелее, чем я рассчитывал, и повторно я бы этот выбор уже не сделал.","NEGATIVE","OTHER"
"Для меня главный минус вуза в том, что обещанный масштаб не превращается в сопоставимое качество каждый день.","NEGATIVE","OTHER"
"Кампус выглядит впечатляюще, но за красивой картинкой скрывается слабый учебный процесс по моему направлению.","NEGATIVE","EDUCATION"
"На программной инженерии от первокурсников ждут готовых навыков, вместо того чтобы нормально вводить в специальность.","NEGATIVE","EDUCATION"
"Учебный план перегружен общими дисциплинами, а профильным предметам почему-то достаётся слишком мало времени.","NEGATIVE","EDUCATION"
"На техническом направлении учиться тяжело, но если самому добирать практику, база всё-таки набирается.","NEUTRAL","EDUCATION"
"Материал по ключевым предметам дают неровно: один модуль полезный, следующий уже приходится вытягивать самостоятельно.","NEUTRAL","EDUCATION"
"Несмотря на сложность программы, несколько профильных курсов реально дали полезные навыки для работы.","POSITIVE","EDUCATION"
"На нашем направлении были преподаватели, которые не просто читали слайды, а разбирали реальные рабочие ситуации.","POSITIVE","TEACHERS"
"Хорошие преподаватели здесь есть, но на фоне общего состава они слишком заметны именно потому, что их мало.","NEUTRAL","TEACHERS"
"Часть преподавателей ведёт себя так, будто студент обязан всё знать заранее и не имеет права на вопрос.","NEGATIVE","TEACHERS"
"Больше всего раздражало предвзятое оценивание: критерии плавают, а замечания объясняют через раз.","NEGATIVE","TEACHERS"
"Когда преподаватель заинтересован в группе, даже сложные темы становятся понятнее и спокойнее воспринимаются.","POSITIVE","TEACHERS"
"Кампус и корпуса производят сильное впечатление, но ежедневная логистика между зданиями утомляет.","NEUTRAL","INFRASTRUCTURE"
"На фотографиях всё выглядит идеально, а в реальности к длинным переходам и очередям быстро привыкаешь.","NEUTRAL","INFRASTRUCTURE"
"Красивый кампус не спасает, когда в аудиториях душно, техника ломается, а до нужного корпуса ещё надо добежать.","NEGATIVE","INFRASTRUCTURE"
"Территория большая и ухоженная, есть где погулять и спокойно поработать между занятиями.","POSITIVE","INFRASTRUCTURE"
"Набережная и корпуса создают ощущение современного университета, хотя бытовые мелочи всё равно вылезают.","POSITIVE","INFRASTRUCTURE"
"Общежитие выглядит прилично, но получить там место и спокойно заселиться оказывается отдельным квестом.","NEGATIVE","DORMITORY"
"В общаге жить можно, если повезёт с корпусом и соседями, иначе бытовые мелочи быстро становятся проблемой.","NEUTRAL","DORMITORY"
"Комнаты нормальные, свой санузел сильно упрощает жизнь, а до учебных корпусов обычно идти недалеко.","POSITIVE","DORMITORY"
"Холод в общежитии, шум по ночам и вечные ограничения на бытовую технику очень выматывают.","NEGATIVE","DORMITORY"
"Если сравнивать с ожиданиями, общежитие оказалось лучше, чем я думал, хотя до комфорта там далеко.","NEUTRAL","DORMITORY"
"Самая большая боль в администрации — это поздние объявления и ощущение, что студент всё должен выяснять сам.","NEGATIVE","ADMINISTRATION"
"Чтобы решить простой вопрос, приходится писать, ходить и напоминать несколько раз разным людям.","NEGATIVE","ADMINISTRATION"
"По стандартным справкам и документам всё работает терпимо, но нестандартные ситуации двигаются очень медленно.","NEUTRAL","ADMINISTRATION"
"Когда сотрудники действительно включаются, организационные вопросы закрываются спокойно и без лишней нервотрёпки.","POSITIVE","ADMINISTRATION"
"РАУ, баллы и заселение превращаются в постоянный стресс, потому что правила вроде есть, а предсказуемости нет.","NEGATIVE","ADMINISTRATION"
"Студенческих активностей много на афишах, но после учёбы и дороги сил на них часто уже не остаётся.","NEGATIVE","STUDENT_LIFE"
"Если попасть в хорошее окружение, внеучебная жизнь становится важной частью опыта, а не просто формальностью.","POSITIVE","STUDENT_LIFE"
"Мероприятия есть, но ощущение настоящего сообщества возникает далеко не у всех и не сразу.","NEUTRAL","STUDENT_LIFE"
"Вся яркая студенческая жизнь быстро тускнеет, когда большую часть дня съедают пары, автобусы и усталость.","NEGATIVE","STUDENT_LIFE"
"Из-за удалённости кампуса любые планы после учёбы приходится подстраивать под дорогу и транспорт.","NEGATIVE","OTHER"
"Университет даёт сильное первое впечатление, но реальный опыт оказывается гораздо сложнее и противоречивее.","NEUTRAL","OTHER"
"Если смотреть без иллюзий, вуз может дать нормальный старт, но ждать от него чуда точно не стоит.","NEUTRAL","OTHER"
"Мне в итоге зашли и люди, и возможности, так что общий опыт получился скорее удачным, чем разочаровывающим.","POSITIVE","OTHER"
"Слишком многое в этом вузе держится на внешнем эффекте, а не на стабильном качестве повседневной жизни.","NEGATIVE","OTHER"
